sex,length_standardized,length_mm,diameter_standardized,diameter_mm,height_standardized,height_mm,whole_weight_standardized,whole_weight_g,no_rings,age_years
F,0.57,114,0.455,45.5,0.15,30,1.107,221.4,8,9.5
M,0.57,114,0.445,44.5,0.14,28,1.0635,212.7,8,9.5
M,0.57,114,0.46,46,0.17,34,0.9035,180.7,7,8.5
M,0.575,115,0.475,47.5,0.16,32,1.114,222.8,9,10.5
F,0.575,115,0.46,46,0.16,32,1.103,220.6,9,10.5
F,0.58,116,0.46,46,0.15,30,1.1155,223.1,7,8.5
F,0.58,116,0.46,46,0.18,36,1.0515,210.3,8,9.5
M,0.58,116,0.455,45.5,0.15,30,1.012,202.4,10,11.5
F,0.58,116,0.45,45,0.145,29,1.137,227.4,8,9.5
M,0.58,116,0.49,49,0.13,26,1.1335,226.7,9,10.5
M,0.59,118,0.465,46.5,0.155,31,1.136,227.2,11,12.5
M,0.59,118,0.47,47,0.16,32,1.206,241.2,8,9.5
F,0.59,118,0.455,45.5,0.145,29,1.063,212.6,8,9.5
F,0.595,119,0.47,47,0.155,31,1.121,224.2,11,12.5
F,0.595,119,0.45,45,0.15,30,1.114,222.8,11,12.5
M,0.595,119,0.475,47.5,0.165,33,1.213,242.6,9,10.5
F,0.595,119,0.46,46,0.14,28,1.0045,200.9,9,10.5
M,0.595,119,0.455,45.5,0.15,30,1.044,208.8,9,10.5
F,0.605,121,0.49,49,0.15,30,1.1345,226.9,9,10.5
M,0.605,121,0.475,47.5,0.155,31,1.161,232.2,9,10.5
M,0.605,121,0.47,47,0.165,33,1.2315,246.3,11,12.5
M,0.61,122,0.47,47,0.15,30,1.1625,232.5,11,12.5
M,0.61,122,0.475,47.5,0.155,31,1.168,233.6,10,11.5
F,0.615,123,0.48,48,0.16,32,1.2525,250.5,8,9.5
F,0.62,124,0.51,51,0.18,36,1.3315,266.3,11,12.5
F,0.625,125,0.48,48,0.17,34,1.3525,270.5,10,11.5
M,0.625,125,0.49,49,0.175,35,1.3325,266.5,10,11.5
F,0.625,125,0.475,47.5,0.175,35,1.1435,228.7,10,11.5
F,0.625,125,0.5,50,0.165,33,1.288,257.6,9,10.5
F,0.625,125,0.485,48.5,0.2,40,1.38,276,9,10.5
M,0.63,126,0.485,48.5,0.155,31,1.278,255.6,8,9.5
F,0.63,126,0.495,49.5,0.165,33,1.3075,261.5,11,12.5
M,0.63,126,0.48,48,0.15,30,1.1785,235.7,8,9.5
M,0.635,127,0.49,49,0.175,35,1.375,275,11,12.5
M,0.635,127,0.525,52.5,0.185,37,1.4065,281.3,10,11.5
M,0.64,128,0.505,50.5,0.155,31,1.4025,280.5,10,11.5
F,0.64,128,0.5,50,0.17,34,1.5175,303.5,11,12.5
F,0.64,128,0.5,50,0.175,35,1.394,278.8,10,11.5
F,0.645,129,0.5,50,0.155,31,1.2205,244.1,10,11.5
M,0.645,129,0.52,52,0.175,35,1.636,327.2,11,12.5
M,0.645,129,0.52,52,0.175,35,1.561,312.2,8,9.5
F,0.645,129,0.505,50.5,0.165,33,1.4325,286.5,8,9.5
M,0.645,129,0.5,50,0.175,35,1.3385,267.7,11,12.5
F,0.645,129,0.5,50,0.16,32,1.2465,249.3,10,11.5
F,0.645,129,0.515,51.5,0.15,30,1.212,242.4,10,11.5
M,0.65,130,0.495,49.5,0.16,32,1.304,260.8,9,10.5
M,0.65,130,0.52,52,0.21,42,1.6785,335.7,11,12.5
M,0.65,130,0.525,52.5,0.185,37,1.622,324.4,10,11.5
F,0.655,131,0.46,46,0.16,32,1.494,298.8,9,10.5
F,0.655,131,0.51,51,0.175,35,1.6525,330.5,10,11.5
F,0.66,132,0.505,50.5,0.185,37,1.528,305.6,11,12.5
M,0.66,132,0.535,53.5,0.19,38,1.5905,318.1,9,10.5
M,0.66,132,0.495,49.5,0.195,39,1.6275,325.5,10,11.5
F,0.66,132,0.475,47.5,0.18,36,1.3695,273.9,6,7.5
M,0.67,134,0.525,52.5,0.165,33,1.6085,321.7,11,12.5
F,0.675,135,0.57,57,0.225,45,1.587,317.4,10,11.5
F,0.675,135,0.565,56.5,0.195,39,1.8375,367.5,12,13.5
M,0.68,136,0.535,53.5,0.185,37,1.607,321.4,12,13.5
M,0.69,138,0.525,52.5,0.175,35,1.7005,340.1,8,9.5
M,0.69,138,0.505,50.5,0.2,40,1.872,374.4,10,11.5
F,0.695,139,0.535,53.5,0.175,35,1.8385,367.7,10,11.5
F,0.705,141,0.535,53.5,0.18,36,1.685,337,12,13.5
M,0.71,142,0.565,56.5,0.205,41,2.198,439.6,11,12.5
M,0.715,143,0.565,56.5,0.175,35,1.9525,390.5,10,11.5
F,0.715,143,0.525,52.5,0.185,37,1.56,312,11,12.5
F,0.735,147,0.6,60,0.22,44,2.555,511,11,12.5
M,0.765,153,0.6,60,0.22,44,2.302,460.4,12,13.5
I,0.185,37,0.13,13,0.045,9,0.029,5.8,4,5.5
I,0.195,39,0.15,15,0.045,9,0.0375,7.5,3,4.5
I,0.195,39,0.135,13.5,0.04,8,0.0325,6.5,4,5.5
I,0.2,40,0.155,15.5,0.04,8,0.0435,8.7,4,5.5
I,0.225,45,0.165,16.5,0.055,11,0.059,11.8,4,5.5
I,0.245,49,0.18,18,0.065,13,0.071,14.2,4,5.5
I,0.25,50,0.18,18,0.065,13,0.0685,13.7,5,6.5
I,0.265,53,0.195,19.5,0.055,11,0.084,16.8,7,8.5
I,0.275,55,0.195,19.5,0.065,13,0.106,21.2,6,7.5
I,0.28,56,0.21,21,0.085,17,0.1075,21.5,5,6.5
I,0.285,57,0.22,22,0.065,13,0.096,19.2,5,6.5
I,0.3,60,0.22,22,0.08,16,0.1255,25.1,6,7.5
I,0.315,63,0.235,23.5,0.055,11,0.151,30.2,6,7.5
I,0.32,64,0.225,22.5,0.085,17,0.1415,28.3,6,7.5
I,0.34,68,0.265,26.5,0.08,16,0.2015,40.3,5,6.5
I,0.37,74,0.28,28,0.1,20,0.221,44.2,6,7.5
I,0.375,75,0.28,28,0.08,16,0.2345,46.9,6,7.5
I,0.375,75,0.275,27.5,0.1,20,0.2325,46.5,6,7.5
I,0.385,77,0.29,29,0.08,16,0.2485,49.7,7,8.5
I,0.4,80,0.32,32,0.095,19,0.348,69.6,6,7.5
I,0.405,81,0.3,30,0.11,22,0.32,64,7,8.5
I,0.41,82,0.3,30,0.1,20,0.282,56.4,7,8.5
I,0.41,82,0.325,32.5,0.1,20,0.3245,64.9,6,7.5
I,0.42,84,0.3,30,0.105,21,0.316,63.2,7,8.5
I,0.42,84,0.32,32,0.11,22,0.3625,72.5,7,8.5
I,0.42,84,0.31,31,0.095,19,0.279,55.8,6,7.5
I,0.425,85,0.325,32.5,0.115,23,0.3685,73.7,7,8.5
M,0.43,86,0.335,33.5,0.12,24,0.397,79.4,7,8.5
I,0.435,87,0.33,33,0.11,22,0.413,82.6,6,7.5
I,0.435,87,0.345,34.5,0.115,23,0.418,83.6,7,8.5
I,0.44,88,0.33,33,0.11,22,0.3705,74.1,7,8.5
I,0.445,89,0.345,34.5,0.105,21,0.409,81.8,7,8.5
I,0.445,89,0.34,34,0.145,29,0.434,86.8,7,8.5
I,0.445,89,0.335,33.5,0.11,22,0.411,82.2,8,9.5
I,0.45,90,0.365,36.5,0.125,25,0.462,92.4,8,9.5
I,0.45,90,0.34,34,0.12,24,0.4925,98.5,6,7.5
I,0.45,90,0.33,33,0.105,21,0.3715,74.3,7,8.5
I,0.45,90,0.33,33,0.1,20,0.411,82.2,6,7.5
I,0.45,90,0.33,33,0.11,22,0.3685,73.7,6,7.5
I,0.46,92,0.35,35,0.115,23,0.4155,83.1,7,8.5
M,0.47,94,0.36,36,0.105,21,0.544,108.8,7,8.5
I,0.47,94,0.38,38,0.125,25,0.4845,96.9,6,7.5
I,0.475,95,0.35,35,0.11,22,0.4565,91.3,6,7.5
I,0.475,95,0.35,35,0.1,20,0.4545,90.9,7,8.5
I,0.48,96,0.38,38,0.125,25,0.6245,124.9,8,9.5
M,0.49,98,0.465,46.5,0.125,25,0.5225,104.5,7,8.5
I,0.5,100,0.375,37.5,0.14,28,0.5495,109.9,7,8.5
I,0.5,100,0.375,37.5,0.12,24,0.542,108.4,9,10.5
I,0.5,100,0.38,38,0.125,25,0.519,103.8,8,9.5
M,0.5,100,0.39,39,0.125,25,0.5215,104.3,6,7.5
F,0.505,101,0.39,39,0.125,25,0.5445,108.9,7,8.5
I,0.51,102,0.405,40.5,0.125,25,0.6795,135.9,8,9.5
F,0.51,102,0.4,40,0.125,25,0.545,109,6,7.5
I,0.51,102,0.4,40,0.125,25,0.5575,111.5,9,10.5
I,0.51,102,0.38,38,0.115,23,0.5155,103.1,8,9.5
I,0.515,103,0.385,38.5,0.125,25,0.6115,122.3,8,9.5
M,0.52,104,0.4,40,0.145,29,0.7765,155.3,9,10.5
I,0.52,104,0.38,38,0.135,27,0.5395,107.9,8,9.5
I,0.52,104,0.38,38,0.125,25,0.5545,110.9,8,9.5
F,0.52,104,0.46,46,0.15,30,1.019,203.8,7,8.5
I,0.525,105,0.4,40,0.13,26,0.6455,129.1,8,9.5
I,0.525,105,0.4,40,0.14,28,0.601,120.2,9,10.5
M,0.525,105,0.405,40.5,0.12,24,0.7555,151.1,9,10.5
I,0.525,105,0.395,39.5,0.12,24,0.608,121.6,8,9.5
I,0.53,106,0.4,40,0.125,25,0.617,123.4,8,9.5
I,0.535,107,0.39,39,0.125,25,0.599,119.8,9,10.5
I,0.54,108,0.42,42,0.14,28,0.6665,133.3,10,11.5
M,0.545,109,0.39,39,0.135,27,0.7835,156.7,7,8.5
M,0.545,109,0.41,41,0.12,24,0.793,158.6,9,10.5
M,0.545,109,0.415,41.5,0.14,28,0.82,164,9,10.5
F,0.55,110,0.415,41.5,0.135,27,0.8145,162.9,8,9.5
F,0.55,110,0.43,43,0.15,30,0.84,168,8,9.5
M,0.55,110,0.425,42.5,0.15,30,0.8315,166.3,10,11.5
M,0.56,112,0.43,43,0.145,29,0.8995,179.9,9,10.5
M,0.56,112,0.445,44.5,0.16,32,0.8965,179.3,8,9.5
F,0.56,112,0.44,44,0.155,31,0.6405,128.1,8,9.5
M,0.56,112,0.415,41.5,0.145,29,0.852,170.4,8,9.5
M,0.565,113,0.455,45.5,0.15,30,0.9595,191.9,9,10.5
M,0.565,113,0.435,43.5,0.15,30,0.99,198,8,9.5
F,0.565,113,0.45,45,0.175,35,1.0095,201.9,9,10.5
M,0.57,114,0.46,46,0.15,30,1.0375,207.5,9,10.5
F,0.57,114,0.445,44.5,0.145,29,0.8775,175.5,8,9.5
I,0.57,114,0.44,44,0.15,30,0.755,151,8,9.5
F,0.575,115,0.46,46,0.145,29,0.9945,198.9,7,8.5
F,0.575,115,0.45,45,0.16,32,1.068,213.6,10,11.5
M,0.575,115,0.435,43.5,0.14,28,0.8455,169.1,9,10.5
F,0.575,115,0.47,47,0.165,33,0.869,173.8,9,10.5
M,0.575,115,0.455,45.5,0.135,27,0.907,181.4,9,10.5
I,0.575,115,0.435,43.5,0.13,26,0.805,161,10,11.5
M,0.575,115,0.445,44.5,0.17,34,1.0225,204.5,9,10.5
M,0.575,115,0.445,44.5,0.145,29,0.847,169.4,9,10.5
M,0.58,116,0.455,45.5,0.15,30,1.114,222.8,8,9.5
M,0.58,116,0.455,45.5,0.195,39,1.859,371.8,9,10.5
M,0.58,116,0.445,44.5,0.135,27,0.814,162.8,9,10.5
M,0.58,116,0.45,45,0.14,28,0.9615,192.3,9,10.5
M,0.58,116,0.45,45,0.145,29,1.0025,200.5,8,9.5
F,0.58,116,0.45,45,0.155,31,0.93,186,9,10.5
M,0.585,117,0.46,46,0.145,29,0.9335,186.7,9,10.5
M,0.585,117,0.465,46.5,0.16,32,0.9555,191.1,7,8.5
M,0.59,118,0.47,47,0.15,30,0.9955,199.1,8,9.5
F,0.6,120,0.475,47.5,0.16,32,1.0265,205.3,9,10.5
M,0.6,120,0.455,45.5,0.17,34,1.1915,238.3,8,9.5
F,0.6,120,0.465,46.5,0.15,30,1.1025,220.5,8,9.5
M,0.6,120,0.465,46.5,0.155,31,1.0165,203.3,10,11.5
F,0.605,121,0.47,47,0.165,33,1.1775,235.5,9,10.5
M,0.605,121,0.475,47.5,0.14,28,1.1175,223.5,9,10.5
M,0.605,121,0.48,48,0.17,34,1.1835,236.7,10,11.5
F,0.605,121,0.475,47.5,0.165,33,1.056,211.2,9,10.5
M,0.61,122,0.485,48.5,0.16,32,1.0145,202.9,8,9.5
M,0.61,122,0.485,48.5,0.145,29,1.3305,266.1,9,10.5
M,0.61,122,0.47,47,0.165,33,1.052,210.4,9,10.5
M,0.615,123,0.46,46,0.17,34,1.0565,211.3,10,11.5
F,0.615,123,0.465,46.5,0.15,30,0.923,184.6,9,10.5
F,0.615,123,0.475,47.5,0.155,31,1.027,205.4,9,10.5
M,0.62,124,0.47,47,0.135,27,1.0195,203.9,8,9.5
M,0.62,124,0.45,45,0.2,40,0.858,171.6,8,9.5
F,0.62,124,0.48,48,0.16,32,1.1125,222.5,8,9.5
F,0.625,125,0.485,48.5,0.175,35,1.3745,274.9,9,10.5
M,0.625,125,0.48,48,0.185,37,1.2065,241.3,8,9.5
M,0.63,126,0.47,47,0.155,31,1.1325,226.5,8,9.5
M,0.63,126,0.5,50,0.175,35,1.2645,252.9,10,11.5
F,0.635,127,0.495,49.5,0.015,3,1.1565,231.3,9,10.5
M,0.64,128,0.515,51.5,0.165,33,1.369,273.8,10,11.5
M,0.645,129,0.53,53,0.195,39,1.39,278,10,11.5
F,0.645,129,0.48,48,0.17,34,1.1345,226.9,10,11.5
F,0.65,130,0.5,50,0.19,38,1.464,292.8,9,10.5
M,0.65,130,0.5,50,0.155,31,1.202,240.4,11,12.5
M,0.655,131,0.515,51.5,0.16,32,1.31,262,11,12.5
F,0.655,131,0.51,51,0.175,35,1.415,283,10,11.5
F,0.66,132,0.53,53,0.185,37,1.346,269.2,11,12.5
M,0.665,133,0.525,52.5,0.16,32,1.363,272.6,8,9.5
I,0.665,133,0.5,50,0.17,34,1.2975,259.5,9,10.5
F,0.67,134,0.505,50.5,0.205,41,1.3645,272.9,9,10.5
F,0.685,137,0.54,54,0.215,43,1.7025,340.5,14,15.5
M,0.685,137,0.52,52,0.165,33,1.519,303.8,10,11.5
F,0.69,138,0.54,54,0.155,31,1.454,290.8,9,10.5
M,0.69,138,0.53,53,0.21,42,1.583,316.6,12,13.5
F,0.69,138,0.53,53,0.17,34,1.5535,310.7,9,10.5
M,0.695,139,0.56,56,0.185,37,1.74,348,10,11.5
M,0.7,140,0.565,56.5,0.18,36,1.751,350.2,9,10.5
M,0.7,140,0.575,57.5,0.19,38,2.273,454.6,12,13.5
F,0.7,140,0.525,52.5,0.19,38,1.6465,329.3,9,10.5
F,0.705,141,0.55,55,0.17,34,1.219,243.8,9,10.5
F,0.71,142,0.56,56,0.18,36,1.652,330.4,11,12.5
M,0.715,143,0.55,55,0.19,38,2.0045,400.9,12,13.5
M,0.715,143,0.535,53.5,0.19,38,1.6755,335.1,10,11.5
F,0.72,144,0.58,58,0.195,39,2.103,420.6,10,11.5
F,0.72,144,0.55,55,0.2,40,1.9965,399.3,10,11.5
M,0.72,144,0.565,56.5,0.145,29,1.187,237.4,8,9.5
M,0.725,145,0.505,50.5,0.185,37,1.978,395.6,12,13.5
F,0.73,146,0.575,57.5,0.185,37,1.8795,375.9,12,13.5
M,0.735,147,0.585,58.5,0.185,37,2.124,424.8,11,12.5
M,0.745,149,0.565,56.5,0.215,43,1.931,386.2,11,12.5
F,0.75,150,0.57,57,0.21,42,2.236,447.2,11,12.5
F,0.755,151,0.625,62.5,0.21,42,2.505,501,11,12.5
M,0.755,151,0.58,58,0.205,41,2.0065,401.3,10,11.5
F,0.78,156,0.63,63,0.215,43,2.657,531.4,11,12.5
I,0.185,37,0.375,37.5,0.12,24,0.4645,92.9,6,7.5
I,0.245,49,0.205,20.5,0.06,12,0.0765,15.3,4,5.5
I,0.25,50,0.185,18.5,0.065,13,0.0685,13.7,5,6.5
I,0.25,50,0.19,19,0.065,13,0.0835,16.7,5,6.5
I,0.275,55,0.195,19.5,0.09,18,0.1125,22.5,6,7.5
I,0.305,61,0.215,21.5,0.065,13,0.1075,21.5,5,6.5
I,0.31,62,0.225,22.5,0.07,14,0.1055,21.1,5,6.5
I,0.315,63,0.23,23,0.08,16,0.1375,27.5,5,6.5
I,0.315,63,0.23,23,0.07,14,0.1145,22.9,5,6.5
I,0.325,65,0.225,22.5,0.075,15,0.139,27.8,6,7.5
I,0.33,66,0.25,25,0.095,19,0.2085,41.7,7,8.5
I,0.33,66,0.205,20.5,0.095,19,0.1595,31.9,5,6.5
I,0.335,67,0.245,24.5,0.09,18,0.2015,40.3,7,8.5
I,0.34,68,0.25,25,0.09,18,0.179,35.8,6,7.5
I,0.345,69,0.255,25.5,0.095,19,0.1945,38.9,6,7.5
I,0.345,69,0.255,25.5,0.085,17,0.2005,40.1,5,6.5
I,0.35,70,0.27,27,0.075,15,0.215,43,6,7.5
I,0.35,70,0.255,25.5,0.09,18,0.1785,35.7,8,9.5
I,0.36,72,0.27,27,0.085,17,0.196,39.2,4,5.5
I,0.365,73,0.27,27,0.085,17,0.1875,37.5,6,7.5
I,0.365,73,0.27,27,0.085,17,0.196,39.2,7,8.5
I,0.365,73,0.265,26.5,0.085,17,0.213,42.6,7,8.5
I,0.37,74,0.29,29,0.09,18,0.2445,48.9,7,8.5
I,0.37,74,0.28,28,0.085,17,0.217,43.4,6,7.5
I,0.375,75,0.29,29,0.095,19,0.213,42.6,5,6.5
I,0.375,75,0.29,29,0.085,17,0.2385,47.7,7,8.5
I,0.375,75,0.275,27.5,0.09,18,0.218,43.6,6,7.5
I,0.375,75,0.275,27.5,0.095,19,0.2465,49.3,6,7.5
I,0.375,75,0.28,28,0.08,16,0.2025,40.5,8,9.5
I,0.375,75,0.27,27,0.085,17,0.218,43.6,7,8.5
I,0.38,76,0.275,27.5,0.11,22,0.256,51.2,6,7.5
I,0.38,76,0.27,27,0.08,16,0.2105,42.1,8,9.5
I,0.385,77,0.29,29,0.09,18,0.2615,52.3,9,10.5
I,0.385,77,0.28,28,0.085,17,0.2175,43.5,8,9.5
I,0.385,77,0.3,30,0.095,19,0.302,60.4,7,8.5
I,0.385,77,0.28,28,0.09,18,0.228,45.6,5,6.5
I,0.39,78,0.3,30,0.095,19,0.3265,65.3,7,8.5
I,0.395,79,0.305,30.5,0.105,21,0.284,56.8,8,9.5
I,0.395,79,0.295,29.5,0.095,19,0.2725,54.5,8,9.5
I,0.395,79,0.27,27,0.1,20,0.2985,59.7,5,6.5
I,0.4,80,0.29,29,0.1,20,0.2675,53.5,5,6.5
I,0.405,81,0.285,28.5,0.09,18,0.2645,52.9,6,7.5
I,0.41,82,0.335,33.5,0.11,22,0.33,66,7,8.5
I,0.42,84,0.305,30.5,0.09,18,0.328,65.6,6,7.5
I,0.425,85,0.325,32.5,0.11,22,0.3335,66.7,7,8.5
I,0.425,85,0.32,32,0.1,20,0.3055,61.1,7,8.5
I,0.425,85,0.31,31,0.09,18,0.301,60.2,7,8.5
I,0.43,86,0.34,34,0,0,0.428,85.6,8,9.5
I,0.43,86,0.315,31.5,0.095,19,0.378,75.6,8,9.5
I,0.435,87,0.315,31.5,0.11,22,0.3685,73.7,7,8.5
I,0.44,88,0.34,34,0.12,24,0.438,87.6,9,10.5
I,0.45,90,0.33,33,0.105,21,0.448,89.6,9,10.5
I,0.455,91,0.345,34.5,0.105,21,0.4005,80.1,8,9.5
F,0.455,91,0.365,36.5,0.115,23,0.4305,86.1,8,9.5
I,0.455,91,0.33,33,0.1,20,0.372,74.4,8,9.5
I,0.46,92,0.36,36,0.105,21,0.466,93.2,7,8.5
I,0.46,92,0.35,35,0.105,21,0.3705,74.1,9,10.5
F,0.46,92,0.365,36.5,0.125,25,0.4785,95.7,8,9.5
I,0.465,93,0.34,34,0.11,22,0.346,69.2,11,12.5
I,0.47,94,0.365,36.5,0.1,20,0.411,82.2,8,9.5
I,0.47,94,0.355,35.5,0.18,36,0.48,96,8,9.5
I,0.47,94,0.355,35.5,0.12,24,0.393,78.6,8,9.5
I,0.475,95,0.355,35.5,0.1,20,0.5035,100.7,8,9.5
I,0.475,95,0.38,38,0.12,24,0.441,88.2,8,9.5
I,0.475,95,0.36,36,0.11,22,0.492,98.4,8,9.5
I,0.48,96,0.37,37,0.125,25,0.5435,108.7,9,10.5
I,0.48,96,0.355,35.5,0.115,23,0.4725,94.5,8,9.5
I,0.48,96,0.365,36.5,0.1,20,0.461,92.2,8,9.5
I,0.495,99,0.355,35.5,0.12,24,0.4965,99.3,8,9.5
I,0.495,99,0.38,38,0.13,26,0.5125,102.5,7,8.5
M,0.495,99,0.395,39.5,0.12,24,0.553,110.6,8,9.5
I,0.5,100,0.38,38,0.135,27,0.594,118.8,9,10.5
M,0.5,100,0.42,42,0.135,27,0.6765,135.3,9,10.5
I,0.5,100,0.375,37.5,0.145,29,0.5795,115.9,9,10.5
I,0.5,100,0.41,41,0.14,28,0.6615,132.3,9,10.5
I,0.5,100,0.375,37.5,0.125,25,0.5695,113.9,7,8.5
I,0.5,100,0.395,39.5,0.14,28,0.6215,124.3,9,10.5
I,0.505,101,0.405,40.5,0.13,26,0.6015,120.3,8,9.5
I,0.505,101,0.38,38,0.12,24,0.594,118.8,7,8.5
I,0.505,101,0.395,39.5,0.105,21,0.551,110.2,8,9.5
I,0.515,103,0.38,38,0.12,24,0.625,125,7,8.5
I,0.515,103,0.42,42,0.135,27,0.711,142.2,13,14.5
I,0.515,103,0.4,40,0.135,27,0.6965,139.3,9,10.5
I,0.52,104,0.4,40,0.13,26,0.5825,116.5,10,11.5
I,0.52,104,0.395,39.5,0.125,25,0.663,132.6,9,10.5
I,0.525,105,0.4,40,0.125,25,0.6965,139.3,9,10.5
M,0.525,105,0.42,42,0.155,31,0.842,168.4,9,10.5
I,0.53,106,0.415,41.5,0.13,26,0.694,138.8,9,10.5
I,0.53,106,0.42,42,0.155,31,0.81,162,10,11.5
I,0.53,106,0.415,41.5,0.11,22,0.5745,114.9,9,10.5
I,0.53,106,0.425,42.5,0.13,26,0.7675,153.5,9,10.5
I,0.535,107,0.4,40,0.135,27,0.6025,120.5,9,10.5
I,0.535,107,0.415,41.5,0.15,30,0.5765,115.3,8,9.5
F,0.535,107,0.41,41,0.13,26,0.7145,142.9,9,10.5
M,0.535,107,0.435,43.5,0.15,30,0.717,143.4,9,10.5
F,0.54,108,0.42,42,0.145,29,0.8655,173.1,10,11.5
I,0.54,108,0.42,42,0.14,28,0.7265,145.3,9,10.5
I,0.545,109,0.435,43.5,0.135,27,0.7715,154.3,8,9.5
F,0.545,109,0.445,44.5,0.15,30,0.8,160,9,10.5
I,0.545,109,0.43,43,0.15,30,0.7285,145.7,10,11.5
I,0.545,109,0.405,40.5,0.135,27,0.5945,118.9,8,9.5
I,0.55,110,0.43,43,0.145,29,0.7895,157.9,11,12.5
F,0.55,110,0.405,40.5,0.125,25,0.651,130.2,9,10.5
M,0.55,110,0.43,43,0.15,30,0.8745,174.9,9,10.5
I,0.55,110,0.435,43.5,0.14,28,0.7535,150.7,10,11.5
I,0.55,110,0.425,42.5,0.135,27,0.7305,146.1,9,10.5
M,0.555,111,0.44,44,0.14,28,0.8705,174.1,9,10.5
I,0.555,111,0.43,43,0.155,31,0.7395,147.9,10,11.5
I,0.555,111,0.43,43,0.14,28,0.7665,153.3,9,10.5
I,0.555,111,0.425,42.5,0.145,29,0.7905,158.1,9,10.5
I,0.56,112,0.425,42.5,0.135,27,0.8205,164.1,9,10.5
I,0.56,112,0.425,42.5,0.145,29,0.688,137.6,9,10.5
F,0.56,112,0.445,44.5,0.155,31,1.224,244.8,10,11.5
I,0.56,112,0.455,45.5,0.145,29,0.974,194.8,9,10.5
I,0.565,113,0.44,44,0.175,35,0.8735,174.7,11,12.5
F,0.565,113,0.45,45,0.145,29,0.8495,169.9,8,9.5
M,0.565,113,0.445,44.5,0.15,30,0.796,159.2,8,9.5
M,0.565,113,0.39,39,0.125,25,0.744,148.8,11,12.5
I,0.57,114,0.45,45,0.145,29,0.751,150.2,10,11.5
I,0.57,114,0.45,45,0.135,27,0.794,158.8,8,9.5
F,0.57,114,0.46,46,0.135,27,0.9795,195.9,9,10.5
M,0.57,114,0.435,43.5,0.17,34,0.873,174.6,10,11.5
I,0.57,114,0.44,44,0.13,26,0.7665,153.3,10,11.5
M,0.57,114,0.435,43.5,0.125,25,0.8965,179.3,9,10.5
F,0.575,115,0.42,42,0.135,27,0.857,171.4,10,11.5
F,0.575,115,0.48,48,0.165,33,1.078,215.6,9,10.5
M,0.575,115,0.46,46,0.155,31,0.892,178.4,10,11.5
M,0.58,116,0.46,46,0.155,31,1.4395,287.9,10,11.5
M,0.58,116,0.455,45.5,0.135,27,0.7955,159.1,10,11.5
F,0.58,116,0.445,44.5,0.15,30,0.858,171.6,8,9.5
M,0.585,117,0.465,46.5,0.155,31,0.9145,182.9,9,10.5
M,0.585,117,0.49,49,0.185,37,1.171,234.2,10,11.5
I,0.585,117,0.475,47.5,0.16,32,1.0505,210.1,10,11.5
M,0.585,117,0.46,46,0.165,33,1.1135,222.7,10,11.5
M,0.585,117,0.47,47,0.165,33,1.409,281.8,10,11.5
M,0.585,117,0.475,47.5,0.15,30,1.065,213,10,11.5
M,0.585,117,0.45,45,0.18,36,0.7995,159.9,8,9.5
I,0.59,118,0.445,44.5,0.135,27,0.7715,154.3,9,10.5
M,0.59,118,0.47,47,0.18,36,1.187,237.4,9,10.5
M,0.59,118,0.455,45.5,0.155,31,0.8855,177.1,10,11.5
F,0.595,119,0.465,46.5,0.15,30,0.98,196,10,11.5
F,0.595,119,0.465,46.5,0.155,31,1.026,205.2,12,13.5
M,0.6,120,0.475,47.5,0.17,34,1.1315,226.3,10,11.5
M,0.6,120,0.48,48,0.155,31,1.014,202.8,11,12.5
I,0.6,120,0.475,47.5,0.15,30,1.12,224,10,11.5
F,0.6,120,0.465,46.5,0.155,31,1.04,208,11,12.5
F,0.6,120,0.455,45.5,0.145,29,0.8895,177.9,10,11.5
M,0.6,120,0.46,46,0.155,31,0.9595,191.9,11,12.5
I,0.605,121,0.485,48.5,0.15,30,1.238,247.6,11,12.5
M,0.605,121,0.49,49,0.14,28,0.9755,195.1,10,11.5
I,0.605,121,0.435,43.5,0.13,26,0.9025,180.5,11,12.5
F,0.605,121,0.475,47.5,0.175,35,1.076,215.2,9,10.5
F,0.605,121,0.47,47,0.16,32,1.0835,216.7,12,13.5
M,0.61,122,0.45,45,0.15,30,0.871,174.2,10,11.5
M,0.61,122,0.48,48,0.165,33,1.244,248.8,12,13.5
M,0.61,122,0.475,47.5,0.17,34,1.0265,205.3,10,11.5
I,0.61,122,0.465,46.5,0.15,30,0.9605,192.1,9,10.5
M,0.61,122,0.48,48,0.17,34,1.137,227.4,10,11.5
M,0.61,122,0.46,46,0.16,32,1,200,10,11.5
F,0.615,123,0.475,47.5,0.155,31,1.004,200.8,10,11.5
M,0.615,123,0.47,47,0.165,33,1.128,225.6,10,11.5
M,0.615,123,0.5,50,0.17,34,1.054,210.8,10,11.5
F,0.615,123,0.475,47.5,0.165,33,1.023,204.6,12,13.5
M,0.615,123,0.475,47.5,0.17,34,1.129,225.8,10,11.5
M,0.615,123,0.48,48,0.175,35,1.118,223.6,9,10.5
F,0.615,123,0.475,47.5,0.155,31,1.115,223,10,11.5
M,0.62,124,0.51,51,0.175,35,1.2815,256.3,10,11.5
M,0.62,124,0.495,49.5,0.18,36,1.2555,251.1,12,13.5
F,0.62,124,0.5,50,0.15,30,1.293,258.6,10,11.5
F,0.62,124,0.475,47.5,0.16,32,1.1295,225.9,10,11.5
